fid,VALUE,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,layer,path,SAMPLE_TWI1,SAMPLE_SPI1,SAMPLE_slope1,SAMPLE_aspect1,SAMPLE_flow1,SAMPLE_road1,SAMPLE_river1,SAMPLE_LC1,SAMPLE_LC1_2,x,y,SAMPLE_rainfall1,SAMPLE_rainfall2
1,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404580.030638975,,,,12.3327951431274,37539.16015625,21.9976654052734,53.6156463623047,1706.50659179688,8503.5576171875,618.4658203125,7,305.688140869141,404580.030638975,3034050.82191478,305.688140869141,255
2,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372331.638589252,,,,,809819.625,24.3358039855957,20.4925918579102,33276.87890625,5717.7353515625,853.287719726562,4,285.05029296875,372331.638589252,3034839.50541565,285.05029296875,255
3,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392720.567620689,,,,16.1998138427734,163791408,13.4097843170166,248.962493896484,12214321,2440.34838867188,42.4264068603516,7,312.853179931641,392720.567620689,3034518.1899153,312.853179931641,255
4,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370725.061086775,,,,6.91307210922241,22044.22265625,25.8354969024658,243.208480834961,853.253295898438,7120.3720703125,597.745727539062,4,294.876434326172,370725.061086775,3034605.8214154,294.876434326172,255
5,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398153.720629066,,,,,40316.2109375,23.6249961853027,30.5792274475098,1706.50659179688,5304.658203125,632.850646972656,7,313.960662841797,398153.720629066,3034693.45291549,313.960662841797,255
6,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389069.255115059,,,,9.2104320526123,5432.9169921875,6.36729669570923,302.47119140625,853.253295898438,2347.87158203125,804.984436035156,7,311.848876953125,389069.255115059,3035394.50491626,311.848876953125,255
7,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390208.464616816,,,,,81348960,5.62642383575439,325.619659423828,14458377,1797.99890136719,0,7,296.556884765625,390208.464616816,3030253.4569106,296.556884765625,255
8,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401921.875134876,,,,8.50607776641846,245853.671875,16.9492225646973,51.8427734375,14505.306640625,4387.18603515625,635.688598632812,7,291.638641357422,401921.875134877,3030603.98291099,291.638641357422,255
9,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393363.19862168,,,,9.23799133300781,1311337.375,26.4977188110352,235.491470336914,49488.69140625,632.850646972656,182.482879638672,4,298.228637695312,393363.19862168,3030195.03591054,298.228637695312,255
10,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382788.997605376,,,,,13436759,11.0277862548828,19.2306747436523,1218445.75,4953.271484375,2012.01391601562,4,249.848999023438,382788.997605376,3030048.98341038,249.848999023438,255
